,question,label
237,compare contrast two treatment either drapery animal greek sculptor establishing artistic context,2
711,select best proposal proposed water treatment plant,6
374,analyze work art term form color texture,4
370,how differentiate,4
442,what way female offender differ male offender,4
713,suggest way which could responded effectively,6
175,explain cause historical event,2
629,prepare list criterion judge evaluate expression,6
127,class facility abstract class explain what mean,2
547,design new animal live jungle,5
194,outline attack plan allow test hypothesis using computational molecular modeling tool,2
631,what data wa used evaluate,6
639,advice ha sought settle following dispute company x referring appropriate legal principle write short report advising company best course action adopt,6
530,compose simple rap rhyme zoo animal,5
533,compose device would assist athlete training,5
647,person,6
715,use judge jury discus statement child enjoy anthony browne book illustration,6
617,defend position,6
637,justify decision made,6
67,list step involved titration,1
506,write tv show play puppet show role play song pantomime,5
168,determine next number sequence,2
444,how psychologist differ general attitude toward third party presence,4
512,write program calculate sqrt array element may use math class function sqrt array include 5 integer element output array element along sqrt value,5
162,describe what took place hato wa sinking,2
309,how would relate position concept position strategy,3
193,outline mechanism employed bacteria allowing evade phagocytic destruction,2
529,compose rhythm put new word known melody,5
365,discriminate difference part,4
383,develop set criterion distinguishing good bad example,4
667,defend following claim cornell method work well could turn even poor lecture valuable learning experience,6
536,create chart compare thing use electricity thing use electricity,5
152,describe 4 type coupling software design,2
513,create advertising campaign,5
528,compose dialogue atticus finch tom robinson when first met,5
111,when first saudi radio station open,1
226,summarize magazine article,2
519,design,5
640,what criticism could make,6
103,what doe ict stand,1
421,analyze positive negative point presented concerning abolition gun write brief 23page narrative analysis,4
419,examine what help make good olympics think money schedule sport people,4
579,make new language code write material using,5
674,establish criterion making choice defend final selection,6
74,name food group least two item food group,1
115,when wa un formed,1
407,compare book last book read,4
714,decide exciting part book sure give least three reason why,6
119,which part data packet used router determine destination network,1
53,identify part eukaryotic cell,1
151,complete analogy analogy task inference task,2
403,compare fall spring,4
696,improved reformed rejected,6
207,classify frog toad amphibian,2
624,judge how well project meet criterion rubric,6
572,how would restructure school day reflect childrens developmental need,5
8,name author,1
689,given two solution stated programming problem rate solution term efficiency readability,6
36,draw flow chart pnk system,1
452,differentiate ethnic chinese ethnic korean,4
253,interpret graph state how many tree cut produce paper,3
303,participate mock election,3
709,predict whether phillip ever go back visit cay several year recovery assuming get sight back,6
534,compose original work which incorporates five common material sculpture,5
542,create perform play frog,5
262,suggest way deal scenario,3
297,teaching simulation peer roleplaying 6th grade student demonstrate principle reinforcement classroom interaction prepare half page description what happened simulation validated principle,3
414,differentiate call value call reference,4
150,compare historical event contemporary situation,2
588,revise process improve outcome,5
657,conclude support which economic system lead higher standard living,6
488,propose alternative plan,5
147,what difference atomic molecular mass,2
146,put word,2
543,create plan local environment drawing around box,5
685,explain choice made making recommendation end user,6
596,what would predictinfer,5
348,construct dictionary truth table determine following statement logically equivalent,3
463,examine carefully given map extract following page help work exercise,4
325,use rule semicolon sentence,3
186,illustrate caption olympic medium event information society,2
123,who wa first man moon,1
630,rate following recommendation set priority,6
143,identify three mistake passage correct,2
706,listen two classmate conversing tape critique performance basis skill covered semester,6
197,paraphrase poem word,2
279,compute area actual circle,3
293,information given develop set instruction,3
400,compare contrast preview question clarifying question anticipated exam question including how relates notetaking process,4
122,who founder kingdom saudi arabia,1
183,blueprint describe article depicted,2
202,classify following protocol ip tcp http according iso osi classification,2
438,distinguish abstract date type adts implementation adts,4
246,summarize main point two text word,2
415,differentiate printf function call displaying prompt echoing data,4
656,choose illustrate two important event story,6
129,describe how interest rate affect economy,2
402,compare contrast two character book,4
584,prepare book jacket illustrates kind book well story,5
576,invent machine specific task,5
219,state word what problem asking,2
672,agree,6
568,how many way,5
675,evaluate work art giving reason evaluation,6
571,how would createdesign new,5
386,what evidence list,4
717,using basic principle socialism discussed course evaluate u economic system providing key argument support judgment,6
509,write another ending story different author ending,5
267,apply storytelling technique little story,3
609,how combine virtual symmetry symbolic model checking effectively,5
441,how doe autonomy differ age,4
496,design new monetary system experiment establishing,5
112,when second world war happen,1
232,translate written text aloud l2 english,2
644,appraise data support hypothesis,6
373,categorize story part think good title part,4
233,translate equation computer spreadsheet,2
585,pretend librarian recommending book someone write paragraph telling what would say,5
317,specify thickness galvanized coating based atmospheric data level 2,3
410,compare two character book,4
722,what think,6
358,how construct selected information system,3
258,write explanation topic others,3
282,demonstrate how season occur,3
376,trace value alpha following code executes int alpha5int jalpha 5for j j jifj 2 0alphaj alphaj 2else alphaj alphaj 3,4
384,what evidence find suggest people regarded important resource organisation,4
224,summarize basic tenet collaborative conservation,2
702,judge whether would possible survive island alone blinded write,6
605,write song old macdonald who bulldozer instead farm,5
472,analyze fracture determine which repaired surgically,4
347,construct venn diagram determine validity given argument,3
505,write feeling relation,5
729,revise story specify type audience would enjoy book,6
683,examine stated position major political candidate regard particular issue state good reason based principle discussed class why one candidate position likely effective others,6
666,decide which method solving problem wa effective,6
632,what judgment make,6
625,judge validity argument astrology,6
556,develop way teach concept adjective,5
577,justify choice data structure,5
85,recite policy immigration europe,1
242,express following system matrix form,2
159,describe nuclear transport lay person,2
524,choose character rewrite scene story character point view,5
35,draw block diagram central processing unit,1
540,create storyboard sequel book use character,5
170,explain how timothy saved phillips life,2
634,what criterion would use evaluate answer correct,6
626,justify concept inheritance give sample code illustrate answer,6
695,how would handled,6
95,state pattern expressing time french,1
563,following identification form corrosion involved failure recommend solution avoid failure,5
240,describe compare role islamic law legal system malaysia pakistan,2
574,access resource how would deal,5
460,examine difference model excluding influential observation model including observation,4
553,develop hypothesis,5
649,ass importance understanding seasonal patter,6
206,classify celebration family community category,2
392,break main action story,4
397,find four different feeling pa lia story,4
627,justify object oriented programming concept,6
217,state word rule ball strike baseball,2
4,define morphology,1
660,critique student speech based criterion studied semester,6
612,devise explicit formula,5
546,design machine perform specific task,5
98,what major fact particular culture society,1
573,identify one problem book give alternate solution one given author,5
406,compare place where story happened where live,4
502,use imagination create picture story add one new thing wa story,5
47,identify phrase simile,1
32,define meaning olympic motto,1
200,classify type corrosion inhibitor,2
134,explain what meant,2
27,correctly label brain lobe indicated diagram,1
651,ass strength weakness current olympics recommend action taken future olympics what,6
230,word tell what meant definition isosceles triangle,2
489,develop method handle following case,5
378,what relationship probability statistical analysis,4
288,construct market strategy product using known strategy model,3
418,divide story initiating event rising action climax falling action,4
391,break component standard film camera explain how interact make machine work,4
592,what idea add,5
498,propose alternative way solve,5
138,how describe,2
62,list four type clause mentioned article,1
471,how inspect maintain fresh water plumbing system properly,4
128,draw diagram explaining how air pressure affect weather,2
720,what criterion would use ass validity business contract,6
520,develop proposal which would,5
64,list characteristic peculiar cubist movement,1
14,list important information remember lesson,1
156,describe word how copy text one program another,2
40,how many state usa,1
492,develop menu new healthy food restaurant,5
379,what analysis,4
187,illustrate what think main idea wa,2
216,select best title passage,2
52,identify five major prophet old testament,1
337,use tableau method prove following tableau valid,3
295,how might lifestyle united state modified socialistic system adopted,3
251,sketch diagram which show fraction take photograph fraction,3
461,critically examine strength weakness positivist paradigm,4
455,how scientific progress similar darwinian evolution according kuhn,4
738,think statement conveys idea trying portray,6
269,show value x running program fragment,3
201,would classify zener diode circuit series voltage regulator shunt voltage regulator,2
161,describe what go four area first page note,2
555,develop sqa plan software development project which defined attached document,5
401,compare contrast waterfall model prototyping model,4
476,contrast treatment well known trademark provided paris article trip article,4
105,what global variable,1
565,how could determine number penny jar without counting,5
389,analyze movement sound frog,4
1,explain briefly meaning following term demography consumer sale promotion medium mix,1
690,given three possible approach implement defined system discus possible advantage disadvantage approach,6
561,explain how biological concept symbiotic relationship could used help solve socially created problem like water pollution overflowing garbage landfill homelessness,5
80,recall location historical event,1
205,classify animal two group,2
34,draw basic outline page note using cornell method,1
508,write 5 new title story would give good idea what wa,5
427,how wa similar,4
454,how would differentiate project program,4
366,discriminate pro con,4
91,state characteristic type corrosion testing studied,1
339,use gauss law find electric field plate when charge q,3
564,given two opposing theory design experiment compare,5
345,what approach would use prove truth statement,3
241,express rule function notation,2
13,list data member,1
315,solve following problem,3
600,write letter editor social issue concern,5
387,analyze safe dangerous aspect feature,4
273,calculate rate habitat fragmentation within colorado front range last decade,3
166,describe what happened,2
734,estimate roughly how long collision process take,6
646,student who use cornell method,6
484,how investigation wa undertaken,4
723,what part book like best tell why like,6
504,write journal point view mountaineer,5
243,express following percentage fraction simplest form,2
566,how could rewrite story city setting,5
562,explain why likely matriarchal family system would found matrilocal matrilineal society,5
686,given argument position enumerate logical fallacy argument,6
189,one sentence illustrate main point written passage,2
699,judge aesthetic quality relationship future value,6
475,how analyze marginally rct,4
681,evaluate whether model true representation local environment,6
510,write java program show overloading concept,5
58,which part world doe live,1
474,how effectively student analyze course content race class privilege autobiographical reflection,4
560,draw painting us various principle perspective achieve effect,5
252,demonstrate illustrate measure central tendency dispersion write journal entry,3
21,name five city u,1
313,would solve two problem using similar approach,3
459,examine data employee department table,4
160,describe pareto principle statistical software quality assurance,2
276,categorise picture add wall display,3
191,outline word how leggos tomato paste advertisement sell product,2
385,future market risky investor risk creates opportunity large return discus,4
413,contrast olympic athlete today athlete past olympic game,4
491,think original way collect develop,5
343,what would heavy growth bacteria occurred,3
308,relate powerful story where use technology classroom ha yielded significant outcome student student,3
661,decide whether favor building floodplain defend position debate,6
130,explain what happening first picture story,2
663,decide whether learned enough electricity book,6
99,what major product export country,1
372,analyze distinction state point view,4
87,recite principle data protection act,1
458,how adolescent asd similar different source communication breakdown,4
330,sketch prediction field line arrangement electrode shown figure 2,3
214,rewrite sentence head following direction given,2
466,distinguish what reasonably achievable what exaggeration,4
121,who first president usa,1
614,develop execute program exercise,5
20,name character story,1
700,judge difficulty level,6
71,make list fact learned story,1
106,what textual index,1
270,calculate x following equation 12x36,3
435,interest compounded monthly instead daily what would difference interest,4
102,what unit corrosion penetration rate relate faraday law,1
250,sketch experiment see how plant grow different kind soil,3
360,show how modify fitch algorithm given class today accommodate nonbinary,3
393,comparing map tectonic plate earthquake map what inference make,4
328,who use what know sonnet finish poem,3
727,would liked cinderella sister explain why why,6
199,describe output program fragment,2
611,how devise way enforce law,5
290,draw 3 picture showing beginning middle ending story,3
394,compare presented,4
623,judge value what think,6
260,draw illustration linked list execution statement use original illustration question,3
192,outline important insight tale,2
23,recall four fact story,1
81,recall definition formula datatype assignment 2,1
526,combine element drama music dance stage presentation,5
333,sketch graph velocity versus time upward downward part ball flight,3
210,retell story word,2
522,see possible solution,5
158,describe word what meant sprained ankle,2
595,what would happen,5
691,given two possible solution b solving given software development problem decide best solution give justification,6
578,make radio announcement advertise book write,5
422,differentiate passage attacked political opponent personally attacked opponent political program,4
120,which technology used laser printer,1
90,state how find word dictionary,1
718,wa hemingway great american writer first need define greatness,6
446,how doe public health reporting differ today reporting two year,4
615,develop network based following information activity immediate predecessor,5
220,state word what author mean when say,2
535,compose notetaking design incorporates theadvantages cornell method,5
430,story happened foreign land compare land united state,4
642,examining videotape play football game determine degree which defensive team performed effectively,6
487,create several different strategy solve mathematical problem,5
363,show how would check brake light working car,3
334,how teenager use code email instant message,3
33,draw label diagram typical stream,1
86,recite poem auto wreck,1
671,determine character action heroic,6
10,list descending order,1
2,label part diagram,1
84,recall supply voltage constraint,1
739,how think community grow change,6
599,write c program accepts integer input screen computes total average value display value screen,5
223,summarize jem belief boo radley,2
445,how chinese newspaper differ u,4
659,critique experimental design research proposal,6
531,compose music frog play,5
97,state rule using semicolon sentence,1
593,what might happen combined,5
44,how much weight,1
580,name one character rewrite story character point view,5
65,list level bloom taxonomy,1
66,list procedure draw mixed potential evans diagram,1
346,construct one turing machine computing following function,3
633,what criterion would use ass,6
78,please label diagram,1
79,recall basic math fact,1
417,distinguish fact hypothesis,4
622,how would justify,6
155,describe word how borrow book library,2
350,construct family network demonstrate number different mincuts network exponential size network,3
109,what season right,1
369,how distinguish different part,4
60,label part following insect grasshopper,1
286,derive kinetic model experimental data,3
396,explain what must happened when,4
473,please analyze modern contemporary culture tell how work play significant part remains postmodernist culture,4
31,define stream bank floodplain substrate,1
55,identify which word begin sound sun knowledge letter,1
581,organize book three section give subtitle section,5
164,describe major clinical difference visceral somatic pain,2
478,how doe hawaii contrast compare florida,4
72,name 5 step follow taking note within hour le,1
275,group characteristic,3
76,name main character story,1
601,write logically organized argument favor given position,5
733,estimate difficulty question,6
335,use secondderivative test determine whether critical point where f0x 0 yield relative maximum relative minimum,3
521,invent another character story,5
497,create several scientific hypothesis,5
266,apply rule law new situation,3
118,which two liquid hypotonic,1
575,integrate training several source solve problem,5
451,differentiate following function using quotient rule,4
294,how could someone modify cornell method make effective researching topic paper,3
133,explain what happening,2
131,explain why story ha title doe,2
49,identify fraction pictorial representation,1
610,how efficiently combine multiple subject graph construct aig choice,5
234,translate equation spreadsheet formula,2
404,compare herbatious carnivorous animal venn diagram,4
707,place following order priority,6
679,evaluate level galvanic coupling two metal using basic kinetic information level 4,6
694,how would feel,6
736,what think mass why,6
549,design testing scenario ass susceptibility alloy used given environment,5
457,what way fox similar wolf dog,4
356,construct data path risc processor given previous question,3
380,draw diagram show memory configuration following statement,4
456,what way oxyperoxidase similar oxygenated heme protein how doe differ,4
327,what question would ask,3
181,explain what author mean statement intellectual power geared master static relation,2
336,use unification algorithm determine whether following two term uniable show intermediate step,3
196,paraphrase what hamlet saying soliloquy,2
501,rewrite story briefly change someone something example substitute dog wolf three little pig,5
511,write program us nested loop print following output,5
638,how would rank item given criterion,6
30,define mercantilism,1
698,better solution,6
165,briefly describe author approach liability goto statement,2
362,how would show understanding abc process,3
405,compare how different child come school,4
70,look symbol what symbol purpose map,1
431,story occurred long ago compare time today good paragraph wa modern story compare long time ago tell what would different,4
351,how construct foliation given manifold,3
377,what distinction made aboutand,4
148,word tell what story,2
204,how would classify geographic location school,2
453,how would differentiate obstructive apnea central apnea,4
208,restate main idea story word,2
101,what structure function congress,1
239,how would compare sa visual basic application spss processing analysis mainframe data,2
265,apply shading produce depth drawing,3
63,list reserved word c programming,1
198,paraphrase poem sheik schubli explaining what wa saying characteristic friend,2
227,tell how phillip kept alive timothy died,2
247,outline aim two study within,2
432,investigate innovation enhance future olympics,4
583,predict difference planet seasonal change,5
636,outline how class arraylist could implemented using array,6
737,what think strength using integrated math program,6
368,how categorize according,4
311,solve math problem using familiar procedure formula,3
39,how many loop statement available c,1
292,draw picture gown cinderella wore ball,3
231,word how would define transferable skill,2
213,rewrite markov matrix account slight change,2
54,identify standard peripheral component computer,1
323,use manual calculate employee vacation time,3
676,evaluate appropriate inappropriate action character,6
248,outline experience working service user,2
212,rewrite predicted equation ideal gas law,2
254,how doe law supply demand explain current increase price fruit,3
482,how would investigate abnormality,4
69,list three predominant economic system exist,1
587,revise how complete complex task order improve outcome,5
687,given data available research question take position defend,6
395,distinguish,4
77,name property state,1
